Degrees, cm, Tics
186 °,0 cm,124 tics
202 °,42 cm,2190 tics
124 °,91 cm,4251 tics
237 °,99 cm,6306 tics
270 °,126 cm,8371 tics
342 °,169 cm,10437 tics
22 °,211 cm,12510 tics
138 °,225 cm,14570 tics
55 °,247 cm,16624 tics
327 °,273 cm,18688 tics
288 °,319 cm,20751 tics
344 °,320 cm,22807 tics
273 °,334 cm,24873 tics
217 °,379 cm,26932 tics
174 °,411 cm,28986 tics
165 °,439 cm,31050 tics
304 °,458 cm,33106 tics
322 °,489 cm,35168 tics
136 °,501 cm,37228 tics
81 °,522 cm,39283 tics
317 °,552 cm,41344 tics
216 °,601 cm,43405 tics
253 °,607 cm,45459 tics
212 °,629 cm,47515 tics
174 °,646 cm,49580 tics
245 °,667 cm,51647 tics
207 °,690 cm,53703 tics
139 °,713 cm,55757 tics
230 °,728 cm,57813 tics
141 °,749 cm,59868 tics
108 °,779 cm,61930 tics
164 °,805 cm,63993 tics
147 °,831 cm,66059 tics
241 °,853 cm,68120 tics
220 °,876 cm,70182 tics
331 °,915 cm,72244 tics
334 °,960 cm,74311 tics
115 °,986 cm,76370 tics
195 °,997 cm,78425 tics
165 °,1022 cm,80479 tics
